Mobs,Name
Angler_Fish.png,Angler Fish
Angry_Trapper.png,Angry Trapper
Basilisk.png,Basilisk
Blood_Feeder.png,Blood Feeder
Chaos_Elemental.png,Chaos Elemental
"Crimson_Mimic2.png, Crimson_Mimic.png, Corrupt_Mimic2.png, Corrupt_Mimic.png",Mimic
Corruptor.gif,Corruptor
Crimson_Axe.png,Crimson Axe
Cursed_Hammer.png,Cursed Hammer
Enchanted_Sword_(NPC).gif,Enchanted Sword
Derpling.png,Derpling
Desert_Spirit.png,Desert Spirit
Ghoul.png,Ghoul
Flying_Snake.png,Flying Snake
Giant_Tortoise.png,Giant Tortoise
Ichor_Sticker.png,Ichor Sticker
Icy_Merman.png,Icy Merman
Lamia.png,Lamia
Mummy.png,Mummies
"Medusa_Stare.gif, Medusa.png",Medusa
Paladin.png,Paladin
Pigron.gif,Pigron
Rock_Golem.png,Rock Golem
Red_Devil.png,Red Devil
Skeleton_Sniper.png,Skeleton Sniper
Rune_Wizard.png,Rune Wizard
Wandering_Eye.png,Wandering Eye
Wyvern_Head_Horizontal.png,Wyvern
Wraith.png,Wraith
Wolf.png,Wolf
World_Feeder.png,World Feeder
Werewolf.png,Werewolf
